Ticker symbol, Security,SEC filings,Global Industry Classification StandardGICS Sector,GICS Sub Industry,Address of Headquarters,Date first added,Central Index KeyCIK
NyseSymbolMMM,3M3M Company,http://www.sec.gov/cgi-bin/browse-edgar?CIK=MMM&action=getcompany reports,Industrials     ,Industrial Conglomerates     St. Paul, Minnesota   0000066740
NyseSymbolMO,Altria Group Inc,http://www.sec.gov/cgi-bin/browse-edgar?CIK=MO&action=getcompany reports,Consumer Staples     Tobacco     Richmond, Virginia   0000764180
NasdaqSymbolAMZN,Amazon.com Inc,http://www.sec.gov/cgi-bin/browse-edgar?CIK=AMZN&action=getcompany reports,Consumer Discretionary          Internet & Direct Marketing Retail  Seattle, Washington  2005-11-18  0001018724
NyseSymbolAEE,Ameren Corp,http://www.sec.gov/cgi-bin/browse-edgar?CIK=AEE&action=getcompany reports,Utilities     Multi-Utilities     St. Louis, Missouri   1991-09-19  0001002910
NasdaqSymbolAAL,American Airlines Group,http://www.sec.gov/cgi-bin/browse-edgar?CIK=AAL&action=getcompany reports,Industrials     Airlines      Fort Worth, Texas  2015-03-23   0000006201 
NyseSymbolAEP,American Electric Power,http://www.sec.gov/cgi-bin/browse-edgar?CIK=AEP&action=getcompany reports,Utilities     Electric Utilities     Columbus, Ohio    0000004904
NyseSymbolAXP,American Express Co,http://www.sec.gov/cgi-bin/browse-edgar?CIK=AXP&action=getcompany reports,Financials     Consumer Finance     New York, New York  1976-06-30  0000004962
NyseSymbolAIG,American International GroupAmerican International Group, Inc.,http://www.sec.gov/cgi-bin/browse-edgar?CIK=AIG&action=getcompany reports,Financials     Property & Casualty Insurance     New York, New York  1980-03-31  0000005272
NyseSymbolAMT,American Tower Corp A,http://www.sec.gov/cgi-bin/browse-edgar?CIK=AMT&action=getcompany reports,Real Estate     Specialized REITs     Boston, Massachusetts   2007-11-19  0001053507
NyseSymbolAWK,American Water WorksAmerican Water Works Company Inc,http://www.sec.gov/cgi-bin/browse-edgar?CIK=AWK&action=getcompany reports,Utilities Water Utilities Voorhees, New Jersey  2016-03-04  0001410636
NyseSymbolAMP,Ameriprise Financial,http://www.sec.gov/cgi-bin/browse-edgar?CIK=AMP&action=getcompany reports,Financials     Asset Management & Custody Banks     Minneapolis, Minnesota  2005-10-03  0000820027
NyseSymbolABC,AmerisourceBergen Corp,http://www.sec.gov/cgi-bin/browse-edgar?CIK=ABC&action=getcompany reports,Health Care     Health Care Distributors     Chesterbrook, Pennsylvania  2001-08-30  0001140859
NyseSymbolAME,AmetekAMETEK Inc  http://www.sec.gov/cgi-bin/browse-edgar?CIK=AME&action=getcompany reports  IndustrialsElectrical Components & Equipment   Berwyn, Pennsylvania 2013-09-23  0001037868
NasdaqSymbolAMGN,Amgen Inc,http://www.sec.gov/cgi-bin/browse-edgar?CIK=AMGN&action=getcompany reports,Health Care     Biotechnology     Thousand Oaks, California  1992-01-02  0000318154
NyseSymbolAPH,AmphenolAmphenol Corp,http://www.sec.gov/cgi-bin/browse-edgar?CIK=APH&action=getcompany reports,Information Technology     Electronic Components     Wallingford, Connecticut  2008-09-30  0000820313
NyseSymbolAPC,Anadarko PetroleumAnadarko Petroleum Corp,http://www.sec.gov/cgi-bin/browse-edgar?CIK=APC&action=getcompany reports,Energy     Oil & Gas Exploration & Production     The Woodlands, Texas    0000773910
NasdaqSymbolADI,Analog DevicesAnalog Devices, Inc.,http://www.sec.gov/cgi-bin/browse-edgar?CIK=ADI&action=getcompany reports,Information Technology     Semiconductors     Norwood, Massachusetts    0000006281
NyseSymbolANTM,Anthem Inc.,http://www.sec.gov/cgi-bin/browse-edgar?CIK=ANTM&action=getcompany reports,Health Care  Managed Health Care  Indianapolis, Indiana   0001156039
NyseSymbolAON,Aon plc,http://www.sec.gov/cgi-bin/browse-edgar?CIK=AON&action=getcompany reports,Financials     Insurance Brokers     London, United Kingdom   0000315293
NyseSymbolAPA,Apache Corporation,http://www.sec.gov/cgi-bin/browse-edgar?CIK=APA&action=getcompany reports,Energy     Oil & Gas Exploration & Production     Houston, Texas   0000006769
NyseSymbolAIV,Apartment Investment & Management,http://www.sec.gov/cgi-bin/browse-edgar?CIK=AIV&action=getcompany reports,Real Estate     Residential REITs      Denver, Colorado   0000922864
